"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","8.81058295627948E-8","19791","7.873854155027181E-8","19792","7.579265096787516E-8","19793","4.686107152571392E-8","19797","7.662519008459895E-8","19788","CNTN6","false","CNTN6"
"0.0","1.0164705617659918E-7","19789","1.027071470841432E-7","19790","8.291814114187263E-8","19791","6.902230927986332E-8","19789","6.732087172092624E-8","19790","DEFB104B","false","DEFB104B"
"0.0","7.370117495196736E-8","19793","7.647574887295238E-8","19794","7.200305871383609E-8","19794","5.6347070723589056E-8","19794","4.6877533818846865E-8","19793","UGT2A2","false","UGT2A2"
"0.0","3.502228190806927E-7","19729","3.466136952811489E-7","19734","3.410794345930912E-7","19732","2.5286980085785493E-7","19740","3.113689110309918E-7","19728","POTED","false","POTED"
"0.0","2.401859083264247E-7","19752","2.373502768516378E-7","19753","2.619829801834309E-7","19749","2.2532059448960047E-7","19750","2.4776408132738636E-7","19747","PPIAL4E","false","PPIAL4E"
"0.0","2.9978320852196726E-7","19737","3.0597361998027137E-7","19746","2.9786729132963587E-7","19743","2.6581110285940397E-7","19735","3.001351092331397E-7","19732","OR51B5","false","OR51B5"
"0.0","9.312040436276905E-7","19632","9.695182600117585E-7","19626","1.0042067788456011E-6","19613","8.009914299484258E-7","19622","7.52584882508884E-7","19649","PCDHGA8","false","PCDHGA8"
"0.0","6.063509895623169E-6","19208","1.1937245042809943E-5","18425","1.1952802527336837E-5","18374","7.94126923913955E-6","18877","1.162997902031234E-5","18232","RPS17P16","false","RPS17P16"
"0.0","6.063509895623169E-6","19207","1.1937245042809943E-5","18424","1.1952802527336837E-5","18373","7.94126923913955E-6","18876","1.162997902031234E-5","18231","ZNF117","false","ZNF117"
"0.0","6.063509895623169E-6","19206","1.1937245042809943E-5","18423","1.1952802527336837E-5","18372","7.94126923913955E-6","18875","1.162997902031234E-5","18230","ADM2","false","ADM2"
"0.0","1.9552994485040952E-7","19758","1.9716496572656182E-7","19765","1.6788353994195905E-7","19773","1.75177734355006E-7","19760","1.5504769016990717E-7","19769","VWFP1","false","VWFP1"
"0.0","8.160403087500147E-7","19653","9.404547634737034E-7","19639","8.043042132290477E-7","19652","8.59878452919421E-7","19611","8.302443348983409E-7","19630","PCDHB9","false","PCDHB9"
"0.0","1.013457187675965E-6","19609","1.1811871624591332E-6","19599","1.0685384497214146E-6","19605","1.0807494840269926E-6","19565","1.0271693318066724E-6","19588","PCDHB4","false","PCDHB4"
"0.0","8.160403087500147E-7","19652","9.404547634737034E-7","19638","8.043042132290477E-7","19651","8.59878452919421E-7","19610","8.302443348983409E-7","19629","PCDHB18","false","PCDHB18"
"0.0","8.160403087500147E-7","19651","9.404547634737034E-7","19637","8.043042132290477E-7","19650","8.59878452919421E-7","19609","8.302443348983409E-7","19628","OR10J5","false","OR10J5"
"0.0","2.6027137026119737E-6","19416","2.869125541332254E-6","19415","2.7111718609679227E-6","19426","1.9013375310753662E-6","19415","2.54056047470513E-6","19393","SP9","false","SP9"
"0.0","7.673871412794623E-7","19659","5.335258275341247E-7","19708","5.934455848078503E-7","19689","7.961765881340281E-7","19624","7.655435645658415E-7","19648","SLC38A11","false","SLC38A11"
"0.0","1.1394742899801048E-7","19785","1.2894136732607507E-7","19784","9.487081161873096E-8","19788","1.2546733674493117E-7","19777","6.367005373417196E-8","19792","OBP2B","false","OBP2B"
"0.0","2.5426375390013686E-8","19807","4.1274364377476785E-8","19805","4.095295117740468E-8","19803","3.8376915769031215E-8","19801","2.707005495265777E-8","19803","CDRT15L2","false","CDRT15L2"
"0.0","2.0722281358280403E-5","17307","8.04907671748065E-6","19129","1.3514145426749327E-5","18159","2.0716362319710848E-5","17024","2.0748613185510944E-5","17125","DEFB128","false","DEFB128"
"0.0","2.0722281358280403E-5","17306","8.04907671748065E-6","19128","1.3514145426749327E-5","18158","2.0716362319710848E-5","17023","2.0748613185510944E-5","17124","OTOR","false","OTOR"
"0.0","6.381543187894419E-8","19796","6.423300002357012E-8","19797","5.893138016889923E-8","19796","5.8046139213131235E-8","19792","3.57600237068206E-8","19801","PRAMEF15","false","PRAMEF15"
"0.0","1.5990225133288576E-7","19775","1.7562509917233404E-7","19773","1.408878381272919E-7","19780","1.481737419459121E-7","19771","1.1425941032052302E-7","19783","PRAMEF4","false","PRAMEF4"
"0.0","1.0430437359589857E-7","19787","1.0624582924223445E-7","19788","9.677938220384522E-8","19787","6.175955523776321E-8","19791","7.628748731321675E-8","19789","PLEKHA8P1","false","PLEKHA8P1"
"0.0","4.520548427401923E-7","19711","7.957427719693556E-6","19137","7.900901928755901E-6","19142","7.90901563092906E-6","18880","7.910077124256207E-6","18967","PRSS46","false","PRSS46"
"0.0","1.114319213692152E-5","18538","1.1111105089926288E-5","18591","4.345149244617814E-7","19718","1.1097574771983156E-5","18175","1.100863850869764E-5","18331","MS4A6A","false","MS4A6A"
